CLASSIFICATION,QF,RESOURCE_AGG_TYPE,PARENT_RESOURCE_ID,RESOURCE_ID,RESOURCE_TYPE,GEN_UNIT_NAME,NET_DEPENDABLE_CAPACITY,NAMEPLATE_CAPACITY,PTO_AREA,OWNER_OR_QF,UNIT_TYPE,ENERGY_SOURCE,ZONE,COD,RIVER_SYSTEM,BAA_ID,UDC
Participating Unit,N,N,,PMPJCK_1_RB2SLR,GEN,Rio Bravo Solar 2,20,20,PGAE,"Rio Bravo Solar II, LLC",PHOTO VOLTAIC,SUN,ZP26,2016-12-29,,CISO,PGAE
Participating Unit,N,N,,AVENAL_6_SUNCTY,GEN,Sun City Solar Project,20,20,PGAE,Sun City LLC,PHOTO VOLTAIC,SUN,ZP26,2011-08-05,,CISO,PGAE
Non-Participating,N,Y,SHELRF_1_UNITS,SHELRF_7_UNIT 3,GEN,Shell Oil Refinery Unit 3,40,40,,"Martinez Refining Company-Division of Equilon Enterprises, LLC",COMBUSTION TURBINE,NATURAL GAS,NP15,,,CISO,
Non-Participating,N,Y,PNCHVS_2_SOLAR,PNCHVS_2_SOLARA,GEN,PNCHVS_2_SOLARA,119.5,119.5,,Pacific Gas & Electric,PHOTO VOLTAIC,SUN,NP15,,,CISO,PGAE
Participating Unit,N,N,,OTAY_6_PL1X2,GEN,"Chula Vista Energy Center, LLC",35.5,40,SDGE,"Chula Vista Energy Center, LLC",COMBUSTION TURBINE,NATURAL GAS,SP15,2006-06-08,,CISO,SDGE
Participating Unit,N,N,,WFRESN_1_SOLAR,GEN,Joya Del Sol,1.5,1.5,PGAE,"GASNA 16P, LLC",PHOTO VOLTAIC,SUN,NP15,2012-12-21,,CISO,PGAE
Participating Unit,N,N,,CRELMN_6_RAMON1,GEN,Ramona 1,2,2,SDGE,"Sol Orchard San Diego 20, LLC",PHOTO VOLTAIC,SUN,SP15,2013-12-31,,CISO,SDGE
Non-Participating,N,Y,VESTAL_2_KERN,VESTAL_6_KERNU2,GEN,KERN RIVER PH 3 UNITS 2,19.7,19.7,,Kings River Conservation District,COMBUSTION TURBINE,NATURAL GAS,SP15,,,CISO,
Non-Participating,N,Y,PIT5_7_PL3X4,PIT5_7_UNIT 4,GEN,Pit PH 5 Unit 4,41,41,,Pacific Gas & Electric Company,HYDRO,WATER,NP15,,,CISO,
Non-Participating,N,Y,PARDEB_6_UNITS,PARDEB_2_UNIT 2,GEN,PARDEE HYDRO UNIT 2,10,10,,East Bay Municipal Utility District,HYDRO,WATER,NP15,,,CISO,
Participating Unit,N,N,,HINSON_6_LBECH2,GEN,Long Beach Unit 2,65,70,SCE,Long Beach Generation LLC,COMBUSTION TURBINE,NATURAL GAS,SP15,2007-08-01,,CISO,SCE
Participating Unit,Y,N,,OLINDA_2_QF,GEN,OLINDA QFS,0.4,13.3,SCE,Southern California Edison Company,OTHER,OTHER,SP15,1984-01-01,,CISO,SCE
Participating Unit,N,N,,PIT6_7_UNIT 2,GEN,PIT PH 6 UNIT 2,40,40,PGAE,Pacific Gas & Electric Company,HYDRO,WATER,NP15,1965-01-01,,CISO,PGAE
Participating Unit,Y,N,,CLOVER_2_UNIT,GEN,Clover Creek,0.99,1,PGAE,Hydro Partners,HYDRO,WATER,NP15,2016-05-06,,CISO,PGAE
Participating Unit,N,Y,DVLCYN_1_UNITS,DVLCYN_1_UNITS,GEN,DEVIL CANYON HYDRO UNITS 1-4 AGGREGATE,236.8,,SCE,California Dept. of Water Resources,HYDRO,WATER,SP15,1972-01-01,,CISO,CWRS
Participating Unit,N,Y,WARNE_2_UNIT,WARNE_2_UNIT,GEN,WARNE HYDRO AGGREGATE,76,,SCE,California Dept. of Water Resources,HYDRO,WATER,SP15,1982-01-01,,CISO,CWRS
Participating Unit,N,N,,MRCHNT_2_MELDYN,TG,MRCHNT_2_MELDYN,494.58,,SCE,ELDORADO230,COMBINED CYCLE,NATURAL GAS,SP15,,,NEVP,SCE
Participating Unit,N,N,,GARNET_1_SOLAR,GEN,North Palm Springs 4A,4,4.1,SCE,"North Palm Springs Investments, LLC",PHOTO VOLTAIC,SUN,SP15,2012-11-02,,CISO,SCE
Participating Unit,N,Y,SCEC_1_PDRP102,SCEC_1_PDRP102,GEN,SCEC_1_PDRP102,0.99,,SCE,"OHMCONNECT, INC.",OTHER,OTHER,SP15,,,CISO,SCE
Non-Participating,,Y,SBERDO_2_PSP3,SBERDO_7_STG3,GEN,SBERDO_7_STG3,202,202,,,,,SP15,,,CISO,
Participating Unit,N,N,,ESCNDO_6_EB3BT3,GEN,Escondido BESS 3,10,10,SDGE,San Diego Gas & Electric,OTHER,LESR,SP15,2017-03-06,,CISO,SDGE
Non-Participating,N,Y,CRESTA_7_PL1X2,CRESTA_7_UNIT 1,GEN,CRESTA UNIT #1,35.2,35.2,,Pacific Gas & Electric Company,HYDRO,WATER,NP15,,,CISO,
Non-Participating,,Y,OGROVE_6_PL1X2,OGROVE_6_CTG2,GEN,Orange Grove,75,75,,Orange Grove LLC,COMBUSTION TURBINE,NATURAL GAS,SP15,,,CISO,
